Chapter,Prompt,Option A,Option B,Option C,Option D,Correct Answer,Explanation,DOK Level,TEKS,Source,URL of diagram,Alternate Text to describe the image,Environmentally Themed Question?,Description
6.4.3,Which statement BEST explains why the Southern Hemisphere experiences summer during December?,The Southern Hemisphere is closer to the Sun during that time of the year ,The tilt of the Earth's axis causes the Southern Hemisphere to receive more direct sunlight ,The Southern Hemisphere has longer days during December ,The Southern Hemisphere experiences reverse seasons compared to the Northern Hemisphere,B,"While there is some truth in each statement, it is the tilt of the Earth on its axis that is most significant and therefore is the best answer.",3,6.9A,Green Co-pilot,,,,
6.4.3,"In January, Pedro is travelling to Australia (in the Southern Hemisphere). Which TWO answers contain some items he should be packing?",Sweaters and a warm jacket ,T-shirts and shorts,Woolen hats and gloves,Swimming costume and sunscreen,B and D,The seasons in the Southern Hemisphere are the opposite from those in the Northern Hemisphere. January will be summertime so Pedro will need to pack items suitable for warm weather.,3,6.9A,Liz,,,,
6.4.3,,,,,,,,,,,,,,
6.4.3,,,,,,,,,,,,,,
6.4.3,,,,,,,,,,,,,,
6.4.3,,,,,,,,,,,,,,
6.4.3,,,,,,,,,,,,,,
6.4.3,,,,,,,,,,,,,,
6.4.3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
7.2.1,According to scientific data what trend has been observed in flooding from 1950 till the present day?,A decreasing trend,A stable trend,An upward trend,A fluctuating trend,C,Data shows a gradual increase in flooding over since 1950,2,7.3B,ChatGPT,,,,
7.2.1,What is true about the results of devastating flooding?,Restoration costs billions of dollars,Areas can always be fully restored,Flooding has no impact on people's lives,The number of flood events decreases after a major flood,A,"Large amounts of money need to be spent for restoration, but the area will never be quite the same again.",3,7.1A,ChatGPT,,,,
7.2.1,A flood can vary in:,Size,Speed of water flow,Duration,All of the above,D,Each flood is different from other floods.,2,7.1A,ChatGPT,,,,
7.2.1,Which of the following is an environmental consequence of floods?,Dispersal of weed species,Erosion of soil,Release of pollutants into waterways,All of the above,D,A flood can have many effects including each of these answers.,2,7.5B,Liz,,,,
7.2.1,"In the future, which of the following is expected to increase the risk of flooding?",More animals in an environment ,"Population growth, urbanization and climate change",More people walking instead of driving Fewer hot days,Fewer hot days,B,Answer B has three important factors that can influence flooding.,2,7.5B,ChatGPT,,,,
7.2.1,"In the future, which of the following is unlikely?",There will be an increased chance of flash flooding and coastal inundation.,Flood risk will increase due to population growth and urbanisation.,Improvements in flood forecasting and warning technologies will reduce the impacts of floods.,We will be able to eliminate the risk of flooding.,D,Despite hard work it is not likely that flooding will be eliminted. But we hope that research and skill will help to reduce the effects of flooding.,3,7.5B,Liz,,,,
7.2.1,What could cause an area to flood more often than others?,Good drainage,Areas of low rainfall,Areas subject to high seasonal rainfall events,Planting more vegetation,C,"A, B and D are factors that could lower the risk of flooding, but C will rasie the risk as there is a higher possibility of continuous rain leading to flooding. ",2,7.1A,ChatGPT,,,,
7.2.1,What is the primary factor that can increase the risk of flooding?,Changes in storm events,Earth's magnetic field,Heavy rainfall events,Global warming,C,Continuous rain in an area over an extended period of time can cause flooding,1,7.5B,ChatGPT,,,,
7.2.1,How do storm sewers and small streams contribute to flooding during heavy rainfall?,They prevent heavy precipitation from causing flooding,"They overflow when overwhelmed, causing flooding",They absorb heavy precipitation efficiently,They redirect heavy precipitation away from populated areas,C,Because of the increased volume of water in sewers and streams during heavy rains they will overflow and add to the amount of water in the area.,2,7.5B,ChatGPT,,,,
7.2.1,Why is it important to analyze changes in heavy precipitation patterns?,To learn about the history of an area,To determine the impact of flooding on storm sewers,To identify areas with no change in precipitation To assess the risk of flooding and make emergency plans in readiness for the next flood,To assess the risk of flooding and make emergency plans in readiness for the next flood,D,We need to know the history of floods but it is most important to look to the future and make plans to mitigate the effects of floods.,3,7.3A,ChatGPT,,,,
7.2.1,What is the primary cause of a storm surge?,Earthquakes,Winds from a tropical cyclone,Tidal waves,Underwater volcanic activity,B,A storm surge occurs when winds from a tropical cyclone push water from the ocean onto land.,2,7.1A,ChatGPT,,,,
7.2.1,What is the best definition of 'temperature'?,The speed of Sun’s energy as it travels to Earth ,The average kinetic energy of particles ,The volume of a substance ,A measure of how warm we feel each day,B,The amount of kinetic energy (speed) of particles in a substance determines its temperature.,2,7.8C,Liz,,,,
7.2.1,Explain the relationship between temperature and kinetic energy.,"Higher temperature means higher kinetic energy, and lower temperature means lower kinetic energy ","Higher temperature means lower kinetic energy, and lower temperature means higher kinetic energy ",Temperature and kinetic energy are unrelated,Temperature has no effect on kinetic energy,A,"When particles speed up, thermal energy increases, and temperature increases. When particles slow down, thermal energy decreases, and temperature decreases.",3,7.8C,ChatGPT,,,,
7.2.1,In which situation does conduction occur?,Hot air rising off an electric cooktop,Blowing on hot food to cool it down,Heat transfer through electromagnetic rays,Heat flow between objects in direct contact,D,Conduction is the heat flow between objects in direct contact so D is correct,3,7.8C,ChatGPT,,,,
7.2.1,What is convection in the context of thermal energy transfer?,Heat transfer through electromagnetic rays,The flow of heat inside an object,The flow of heat caused by the motion of a liquid or gas ,The slowing down or speeding up of molecules,C,"Convection is heat transfer that can only happen in liquids and gases, because it involves those liquids or gases physically moving.",3,7.8C,ChatGPT,,,,
7.2.1,How does conduction work in the context of an ice cube in room temperature water?,The ice cube cools down the water ,The water cools down the ice cube ,The ice cube becomes warmer and melts,The water and ice cube remain at the same temperature,C,The ice cube becomes warmer (the molecules move faster) which causes the melting of the ice cube,3,7.8C,ChatGPT,,,,
7.2.1,When is forced convection evident?,Blowing on hot food to cool it down,Hot air rising off an electric cooktop,Heat transfer through electromagnetic rays,Using a fan on a hot day,"A, D",Forced convection occurs when something external happens such as a fan.,3,7.8C,ChatGPT,,,,
7.2.1,What is the ultimate result when two objects of different temperatures are in contact,Energy is transferred only from the colder object to the hotter one,Energy is transferred only from the hotter object to the colder one,Both objects reach equilibrium or the same temperature,The colder object warms up,C,"Heat transfer occurs between the two objects. If two objects cannot  exchange energy, they will not reach thermal equilibrium.",2,7.8C,ChatGPT,,,,
7.2.1,"If you create a concept model to explain relationships between the kinetic energy of particles, temperature, and the state of water as thermal energy is released or absorbed, which of these features should you indicate?",The transition from solid to liquid to gas the temperature of the liquid,The temperature of the Sun ,The color of the liquid,The type of liquid,A,"The model represents the general concept of moving from solid to liquid to gas, rather than containing specific information about liquids, etc.",3,7.1G,Liz,,,,
7.2.1,Which answer shows the correct direction of the water cycle?,"Increase in cloud formation, increase in moisture, increase in evaporation, increase in rainfall","Increase in evaporation, increase in moisture, increase in cloud formation, increase in rainfall","Increase in rainfall, increase in evaporation, increase in cloud formation, increase in moisture","Increase in moisture, increase in cloud formation, increase in evaporation, increase in rainfall",B,"Water evaporates from the ocean, leading to an increase in moisture in the atmosphere. This causes an increase in cloud formation, leading to an increase in rainfall.",2,7.1G,Liz,,,,
7.2.2,What determines the temperature of a system?,Total thermal energy,Average kinetic energy of particles,Total number of atoms in the system ,The type of material,B,Temperature is defined as the average kinetic energy of the particles within a system.,2,7.8C,ChatGPT,,,,
7.2.2,How does adding or removing thermal energy affect a system's kinetic energy?,It adds more particles to the system,It increases the total thermal energy ,It changes the kinetic energy of particles,It  decreases the temperature,C,Adding thermal energy changes the kinetic energy (speed) of the particles so the temperature changes.,2,7.8C,ChatGPT,,,,
7.2.2,How does adding thermal energy affect a system's temperature?,It increases the temperature ,It has no effect on the temperature ,It decreases the temperature ,It changes the chemical composition of the material,A,Adding thermal energy increases the kinetic energy (speed) of the particles so the temperature increases.,2,7.8C,,,,,
7.2.2,What factors determine the total thermal energy of a system?,Temperature and state of the material ,Total number of atoms and average kinetic energy ,"Temperature, total number of atoms, and state of the material ",Average kinetic energy and total thermal energy,C,Each of the factors in C are necessary to determine the total thermal energy in a system.,2,7.8C,ChatGPT,,,,
7.2.2,An experiment is conducted to see if there is a correlation between temperature and water level. Why is it important for air not to enter the system?,So that measurements are correct ,So that the thermometer works correctly,So that it is a closed system ,So that the water cannot escape,C,If air enters the system there is another variable so the results will not be useful to see if there is a correlation.,3,7.1B,Liz,,,,
7.2.2,What is the purpose of adding dye to the water in the investigation setup?,To make the water easier to see,To measure the temperature of the water,To seal the cap and prevent air from entering or escaping,To make the water safe to drink,A,Dye is added to make the water easier to see. This is particularly important for visualizing any changes in the water level in the straw.,3,7.1B,,,,,
7.2.2,"What does the abbreviation ""mm"" stand for in the context of the investigation?",Meter,Milliliter,Mile,Millimeter,D,"The abbreviation for millimeter, is “mm”. It is 1/1000 of a meter.",1,7.1E,,,,,
7.2.2,What is volume?,The amount of space a substance takes up,The distance water moves up a straw,The average surface temperature of the Earth's oceans ,The correlation between sea temperature and sea level,A,Volume is defined as the amount of space a substance takes up.,1,,,,,,
7.2.2,Scientists have studied glaciers for many years. What does the data they have collected indicate about the mass of ice in glaciers worldwide?,There is an upward trend ,There is a downward trend ,The amount has remained stable , There data has been irregular and inconclusive,B,"The data shows a clear downward trend, indicating a decrease in the mass of ice in glaciers worldwide.",3,7.1B,ChatGPT,,,,
7.2.2,Why are glaciers and ice sheets seen as contributors to sea level rise?,Due to their vibrant colors ,Because of their unique shapes ,Because they release air bubbles,Because they go through cycles of melting and freezing ,D,"Glaciers and ice sheets contribute to sea level rise through cycles of melting and freezing, influenced by thermal energy.",2,7.5B,ChatGPT,,,,
7.2.2,Glaciers and ice sheets go through cycles of melting and freezing each year. What is the reason for this?,Thermal energy drives this process,Wind movements drive this process,Flowing rivers drive this process ,Animal migration drives this process,A,"Ice melts when thermal energy from the Sun reaches the ice. When the amount of thermal energy reaching the ice is lower, the water will freeze again.",2,7.5B,Liz,,,,
7.2.2,"What is storm surge, and how does it occur during a hurricane?",The wind pushes water onto land ,The continuous rainfall during a hurricane causes the storm surge, Earthquakes cause the sea level to rise ,Flooding is induced by a tornado,A,"Storm surge occurs when the winds of a coastal storm push water onto land, creating large waves that can move far inland.",2,7.5B,ChatGPT,,,,
7.2.2,Why is storm surge considered one of the most dangerous parts of a hurricane?,Because of its strong winds,"Because it can carry away homes and cars
",Because of the heavy rainfall ,"Because tornadoes can be associated with storm surge
",B,"Storm surge is so strong that it can carry away homes and cars, leading to the destruction of communities.",3,7.5B,ChatGPT,,,,
7.2.2,What role does wind speed play in determining the intensity of a storm surge?,Higher wind speeds push water onto land ,Lower wind speeds cause storm surge,Wind speed has no impact on storm surge,Wind speed only affects rainfall,A,"One factor determining the intensity of a storm surge is wind speed, with more powerful storms having higher wind speeds that push water onto land.",3,7.5B,ChatGPT,,,,
7.2.2,How does the temperature of the water affect hurricane winds?,Colder water decreases wind speed,Water temperature has no impact on wind speed,Warmer water increases wind speed ,Wind speed is determined by the type of cloud formed during a hurricane,C,"Hurricanes form over warm waters, and the warmer the water, the higher the wind speed.",3,7.5B,ChatGPT,,,,
7.2.2,How does the slope of the ocean floor impact the intensity of a storm surge?,Steeper slopes make it easier for water to move onto land,Shallower slopes make it easier for water to move onto land ,Ocean floor slope has no effect on storm surge,"Slope affects wind speed, not storm surge",B,"If the slope of the ocean floor is gentle or gradual, the water can flow more easily than if it has to rise up a steeper slope.",3,7.5B,ChatGPT,,,,
7.2.2,Explain the significance of the approach angle of a hurricane in relation to storm surge intensity. Choose TWO correct answers.,A hurricane that approaches the coastline directly creates a larger storm surge,A hurricane that approaches the coastline directly creates a smaller storm surge , A hurricane that follows the line of the coast creates a larger storm surge,A hurricane that follows the line of the coast creates a smaller storm surge ,A and D,If a hurricane approaches the coastline directly it will have a larger storm surge but if it follows the line of the coast it will create and smaller storm surge.,3,7.5B,ChatGPT,,,,
7.22,Flood waters accelerate at different rates. Which TWO answers are true?,"The larger the quantity of water, the higher the acceleration ","The larger the quantity of water, the lower the acceleration   ","The smaller the quantity of water, the lower the acceleration ","The smaller the quantity of water, the higher the acceleration",A and C,"We can see that force, mass, and acceleration are related in the formula F=ma. If the mass of water increases, then the acceleration will increase. If the mass decreases then the acceleration will decrease.",3,7.2B,Liz,,,,
7.2.2,How might communities mitigate flood damage caused by storm surge based on the information provided in the passage?,By building taller structures,By focusing on improving hurricane wind resistance,By considering the ocean floor slope in coastal development,By studying cloud formation during a hurricane,C,"A gentle slope in the ocean floor allows water to flow onto land more easily, so construction needs to be further from the coastline.",3,7.5B,ChatGPT,,,,
7.2.2,After a flood there is a chance of the spread of disease. What could a town council do to minimize the risk of disease? Choose all answers that are correct.,Supply bottled water to the residents,Encourage people to drink water from their taps as usual,Work hard to repair damage to water pipes and water supply  Advertise ways in which families can keep healthy after a flood,Advertise ways in which families can keep healthy after a flood,"A, C, D","Drinking from taps is dangerous after a flood because, if pipes are damaged and filters are not in place, microorganisms that spread disease can enter the water supply.",3,7.1B,Liz,,,,
7.2.3,A _______is the area of land that collects runoff and channels it into a main river.,peninsula,tributary,lake,watershed,D,"A watershed includes all the land area that collects and drains the water in lakes, rivers and eventually the ocean.",2,7.11A,Liz,,,,
7.2.3,What are the objectives of watershed management? Select all that apply.,Road building,Efficient use of land based on water flow,Flood control ,"Provision of water supply for domestic, agricultural and industrial needs","B, C, D","A watershed is managed to ensure the effective use of water, and to advise on the best way to manage land and water use. ",3,7.11A,Liz,,,,
7.2.3,What is the potential impact of everything that water meets in a watershed?,A landslide could be caused,A tornado could be caused,Surface water and groundwater could become contaminated,Climate could be affected,C,"Contamination of water from animals, agriculture and other factors needs to be monotored.",2,7.11A,Liz,,,,
7.2.3,What is the primary difference between surface water and groundwater?,"Surface water is found below the ground, while groundwater is on the Earth's surface","Surface water is mostly contained within half a mile below the surface, while groundwater can be seen from the surface","Surface water includes wetlands, stream systems, and lakes, while groundwater is found in aquifers",Surface water and groundwater are terms used interchangeably,C,Surface water is found above ground while groundwater is found below ground in aquifers.,2,7.11A,ChatGPT,,,,
7.2.3,Where does groundwater begin pooling and flowing upwards?,In wetlands,In stream systems,In lakes and ponds,Once it reaches an impermeable layer in the Earth,D,"Once groundwater reaches an impermeable layer in the Earth, it cannot flow through, so it begins pooling and flowing upwards.",2,7.11A,ChatGPT,,,,
7.2.3,How does moving water exert force?,Proportionally to its volume ,Proportionally to its mass and speed,Proportionally to its temperature, Proportionally to its level of contamination,B,The force exerted by moving water is proportional to the mass of the water plus how fast it is moving.,2,7.11B,ChatGPT,,,,
7.2.3,What is the purpose of a risk analysis?,To analyze the cost of flood damage,To determine the movement of animals during a flood ,To assess the chance of damage caused by a flood,To examine the location of flood-prone areas,C,A risk analysis is done to determine how likely an area is to survive or be damaged by a flood.,3,7.11B,ChatGPT,,,,
7.2.3,What does the absence of visible flood control systems and poorly built buildings suggest about a city’s flooding risk?,It is at low risk of flooding ,It has a high risk of damage to infrastructure due to flooding ,It probably has an underground flood control system,Its buildings are designed to withstand floods,B,There will be a much higher risk of damage to infrastructure due to flooding if there is no flood control system and if buildings are not well-constructed.,3,7.11B,ChatGPT,,,,
7.2.3,What is the key factor in determining the risk of damage to infrastructure due to flooding,Location and design of infrastructure ,Modern buildings,Population density,Annual precipitation,A,"While the other answers could have some significance, the risk of damage to infrastructure is particularly influenced by location, and the design and construction of infrastructure.",2,7.11B,ChatGPT,,,,
7.2.3,What is the main purpose of levees and floodwalls in New Orleans?,To create reservoirs for water storage,To block the flow of rivers ,To allow more housing to be built near rivers,To protect against severe flooding ,D,Levees and floodwalls are constructed to mitigate the effects of severe flooding and protect the city against floodwaters.,3,7.11B,ChatGPT,,,,
7.2.3,What is one strategy that could help in adapting to increased flood risks due to climate change?,Building dams to create reservoirs,Lowering the height of levees ,Allowing more housing to be built closer to the rivers ,Decreasing our reliance on weather forecasts,A,"One strategy is building dams to create reservoirs that can be filled during heavy rainfall or snow melt, then released gradually to minimize downstream flooding.",3,7.11B,ChatGPT,,,,
7.2.3,What role do weather forecasts play in minimizing danger to people in flood-prone areas?,They help in selecting locations for building dams,They assist in planning the evacuation of the residents in the region  ,They help to determine land-use regulations ,They influence where levees are constructed,B,"Detailed weather forecasts help officials understand the path and strength of a storm, enabling them to order evacuations and get people out of harm's way.",3,7.11B,ChatGPT,,,,
7.2.3,"Which sentence explains what ""hypoxic zone"" means?",There is a dead zone in the Gulf of Mexico,This area has little or no oxygen,Chemical fertilizers run from farmland into the ocean,The size of the dead zone changes each year,B ,Hypoxia refers to a reduced level of oxygen in the water.,3,7.5D,Liz,,,,
7.2.3,Why is the  ‘dead zone’ in the Gulf of Mexico so deadly?,Few organisms can survive there ,It is very dangerous to swim there,There are many varieties of sharks living there,Rough seas make it dangerous for boats to sail there,A,The lack of oxygen means that few organisms can live in the dead zone.,3,7.5D,Liz,,,,
7.2.3,Which statement about water pollution is TRUE?,Pollution only affects surface water,Pollution cannot be dissolved in water,Pollution affects both surface and groundwater,Pollution cannot travel through soil to groundwater,C,Pollution can enter both the groundwater and the surface water so we need to monitor water and pollution in both tyes of water.,2,7.11A,Liz,,,,
7.2.3,Which of the following human activities is LEAST likely to affect watersheds?,Fertilizing lawns,Riding in an airplane,Cutting down trees,Reading a book,D,"Options A and B produce pollutants that can enter the watershed, Option C removes a source of beneficial oxygen. Reading is a passive activity that is not introducing new pollutants into the watershed.",3,7.11A,Liz,,,,
7.2.3,How are all watersheds similar to the Mississippi River Basin?,They all support the same habitat,They all drain water to the lowest point,They all carry the same amount of water,They all drain water across the surface of land only,B,Watersheds have many differences but the water always drains to the lowest point because of gravity.,3,7.11A,Liz,,,,
7.2.3,An excess of which of the following would most likely be associated with the formation of a dead zone?,Oxygen,Nitrogen,Carbon dioxide,Lithium,B,Nitrogen enters the watershed from fertilizers used in farming.,2,7.11A,Liz,,,,
7.2.3,Which of the following is not a source of nitrogen to a river?,Fertilizers,Animal wastes,Waste water,Burning fossil fuels,D,The burning of fossil fuels does not contribute to an increase in nitrogen in water.,2,7.11A,Liz,,,,
7.2.3,How does nitrogen cause the dead zone?,Nitrogen causes algae to bloom and algae is then are decomposed by bacteria which uses oxygen ,Nitrogen is poisonous to all organisms in the ocean causing them to die,Nitrogen is produced when ocean temperatures are warm Nitrogen is absorbed by organisms which then become sick and die,Nitrogen is absorbed by organisms which then become sick and die,A,"If there is too much nitrogen in the water, algae will grow. When algae is decomposing, oxygen is removed from the water causing a dead zone.",3,7.11A,Liz,,,,
,,,,,,,,,,,,,,
7.3.1,"What traits made the ""lumper"" potatoes desirable for planting? Select ALL that apply.",Smooth texture,High yield ,Grew in poor soil,Resistance to fungus,"B, C","The ""lumper"" potatoes were produced high yields and grew in poor soil, which contributed to their popularity among farmers.",2,,ChatGPT/Becky Reading Companion,,,,
7.3.1,Why did farmers in Ireland face a famine in the mid-1840s related to potatoes?,Excessive rainfall,Lack of sunlight,Fungus infection in potatoes,Poor soil quality,C,"A fungus infected the potatoes, causing them to rot in the fields and leading to a widespread famine due to a lack of food.",2,,ChatGPT/Becky Reading Companion,,,,
7.3.1,How did the lack of variation in potato types contribute to the Irish Potato Famine?,Increased crop yield,Enhanced resistance to fungus,All of the potatoe were small and lumpy.,"Limited diversity, making all crops susceptible to the same fungus",D,"The absence of variation in potato types made all crops susceptible to the same fungus, contributing to the severity of the Irish Potato Famine.",2,,ChatGPT/Becky Reading Companion,,,,
7.3.1,"What is the primary lesson learned from the Irish Potato Famine, as mentioned in the passage?",The importance of planting only one type of crop,The significance of fungal infections in crops,The importance of variation among crops.,The value of storing potatoes in winter,C,"The famine underscores the importance of promoting diversity among organisms, particularly in agricultural practices.",2,,ChatGPT/Becky Reading Companion,,,,
7.3.1,How does taxonomy help scientists organize and classify organisms?,By size,By color,By similarities and differences,By geographic location,C,"Taxonomy organized organisms based on similarities and differences, providing a systematic way for scientists to classify and understand the diversity of life.",2,14.A,ChatGPT Reading Companion,,,,
7.3.1,What is the largest and most inclusive category in the taxonomic system?,Genus,Order,Kingdom,Species,C,"The kingdom is the largest and most inclusive category in the taxonomic system, encompassing a broad range of organisms.",1,14.A,ChatGPT Reading Companion,,,,
7.3.1,"Which kingdom contains organisms that can live in extreme conditions, such as very hot or salty places?",Fungi,Animalia,Archaea,Protista,C,"The kingdom Archaea contains organisms known as extremophiles, which can thrive in extreme conditions such as very hot or salty places.",2,14.B,ChatGPT TEKS,,,,
7.3.1,What role do plants play in ecosystems?,Producers through photosynthesis,Decomposers of organic matter,Consumers of other organisms,Predators in the food chain,A,"Plants serve as producers in ecosystems, conducting photosynthesis to produce their own food and supporting the food chain.",2,14.B,ChatGPT Reading Companion,,,,
7.3.1,How do fungi contribute to ecosystems?,By causing diseases,By serving as producers,By decomposing organic matter,By performing photosynthesis,C,"Fungi play an important role in ecosystems as decomposers, breaking down organic matter and contributing to nutrient cycling.",2,14.B,ChatGPT Reading Companion,,,,
7.3.1,What is the most specific taxonomic division?,Class,Order,Kingdom,Species,D,Species is the most specific level of organization in taxonomy.,1,14.A,ChatGPT/Becky Reading Companion,,,,
7.3.1,What is the primary purpose of the taxonomic system?,To determine the lifespan of organisms,To classify organisms based on their age,To categorize organisms based on their genetic code,To describe relationships between organisms,D,The primary purpose of the taxonomic system is to describe relationships between organisms by categorizing them based on similarities and differences.,2,14.A,ChatGPT TEKS,,,,
7.3.1,"In the context of taxonomy, what does the term ""kingdom"" represent?",A specific geographic location,The largest and most inclusive category,A group of closely related organisms,The smallest and most specific category,B,"In taxonomy, a kingdom is the largest and most inclusive category, grouping together a wide range of organisms based on common characteristics.",2,14.A,ChatGPT TEKS,,,,
7.3.1,Why is the recognition of kingdoms important in the study of ecosystems?,To determine the temperature of ecosystems,To understand the reproductive behaviors of organisms,To describe the characteristics and roles of different groups of organisms,To identify the dominant color in ecosystems,C,"The recognition of kingdoms is important in studying ecosystems because it helps describe the characteristics and roles of different groups of organisms, contributing to a comprehensive understanding of ecological interactions.",2,14.A,ChatGPT TEKS,,,,
7.3.1,"Which kingdom includes bacteria that aid in digestion, such as those living in the human intestines?",Eubacteria,Fungi,Protista,Plantae,A,"The kingdom Eubacteria includes bacteria that aid in digestion, such as those found in the human intestines.",2,14.B,ChatGPT TEKS,,,,
7.3.1,What distinguishes the recognized kingdoms in the taxonomic system?,Their geographical distribution,Their reproductive strategies,Their similarities in size,Their characteristics and roles in ecosystems,D,"The recognized kingdoms are distinguished by their characteristics and roles in ecosystems, providing a basis for understanding the diversity of life.",2,14.A,ChatGPT TEKS,,,,
7.3.1,Why is the concept of recognizing kingdoms important in the context of ecosystems?,To create a hierarchy based on intelligence,To establish a ranking system for organisms,To maintain biodiversity and ecological balance,To determine the dominant species in an ecosystem,C,"Recognizing kingdoms is important in maintaining biodiversity and ecological balance within ecosystems, as different groups of organisms contribute distinctively to the overall ecosystem dynamics.",2,14.A,ChatGPT TEKS,,,,
7.3.1,What information does taxonomy provide about organisms in addition to their names?,Their preferred habitat,Their favorite food,Their genetic code and family history,Their relationships based on similarities and differences,D,"Taxonomy provides information about the relationships between organisms based on similarities and differences, going beyond just assigning names to species.",2,14.A,ChatGPT TEKS,,,,
7.3.1,Why did early scientists initially classify organisms into just two groups—plants and animals? Select ALL that apply.,Based on their ability to move around and use food for energy,Based on their ability to photosynthesize and use energy from the Sun,Based on their size and color,Based on their habitat and geographic location,"A, B",Early scientists classified organisms into plants and animals based on traits related to their ability to move around and use food for energy (animals) or photosynthesize and use energy from the Sun (plants).,2,14.A,ChatGPT Lesson Activity,,,,
7.3.1,What is the broadest category within a kingdom that shares important features of body plan and internal functions?,Species,Genus,Phylum,Class,C,"A phylum is the broadest category within a kingdom, grouping organisms that share important features of their body plan and internal functions.",1,14.A,ChatGPT Lesson Activity,,,,
7.3.1,How are organisms classified as belonging to the same species?,By their size and color,By their geographic location,By their ability to mate and produce offspring,By their preferred habitat,C,Organisms are classified as belonging to the same species if they can mate and produce viable offspring. This is a key criterion for species classification.,2,14.A,ChatGPT Lesson Activity,,,,
7.3.1,"What are the last two groups in the classification hierarchy, making up the scientific name of an organism?",Phylum and Class,Class and Order,Genus and Species,Family and Order,C,"The last two groups in the classification hierarchy are Genus and Species, making up the scientific name of an organism.",2,14.A,ChatGPT Lesson Activity,,,,
7.3.1,Why is the current organization of organisms in taxonomy subject to change?,Because scientists keep discovering new organisms and reclassify them,Because it follows a rigid and unchangeable system,Because it is based on personal opinions and preferences,Because it is regulated by international law,A,"The current organization of organisms in taxonomy is subject to change because as scientists learn more about life, they may discover new organisms and reclassify them based on updated information.",2,14.A,ChatGPT Lesson Activity,,,,
7.3.1,"How does the level of specificity change within the classification hierarchy, from phylum to species?",Organisms become less similar,Organisms become more similar,Organisms switch between plants and animals,Organisms change their habitat,B,"The level of specificity increases within the classification hierarchy from phylum to species, with organisms becoming more similar to each other as the categories become more specific.",2,14.A,ChatGPT Lesson Activity,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
7.3.2,How do organisms get their traits?,Through environmental factors,By exchanging traits with other organisms,During the process of reproduction,By absorbing traits from the surroundings,C,"Organisms inherit traits from their parents during the process of reproduction, where genetic information is passed from parent to offspring.",2,,ChatGPT Reading Companion,,,,
7.3.2,What is the primary purpose of reproduction in organisms?,To create new physical features,To regenerate missing body parts,To share traits with other organisms,To ensure the survival of their species,D,Reproduction in organisms is primarily for ensuring the survival of their species by creating new generations that share traits with their parent organisms.,2,,,,,,
7.3.2,What is the main difference between asexual and sexual reproduction?,The involvement of special reproductive parts,The need for a mate or partner,The number of offspring produced,The use of genetic information,B,"The main difference between asexual and sexual reproduction is the need for a mate or partner in sexual reproduction, while asexual reproduction can occur without the involvement of others.",2,,,,,,
7.3.2,What is an advantage of asexual reproduction? ,It requires special reproductive parts,It allows for genetic variation,It can occur even if the organism is alone,It produces a large number of offspring,C,Asexual reproduction has the advantage of not requiring special reproductive parts and can work even if the organism is alone.,2,13.C,ChatGPT Reading Companion,,,,
7.3.2,Why is there very little change in the genetic diversity of a population of asexually reproducing organisms over time?,Because they have identical genetic material,Because they reproduce in large numbers,Because they exchange genetic material with other organisms,Because they are influenced by environmental factors,A,"In asexual reproduction, there is very little change in the genetic diversity over time because offspring have identical genetic material to the parent, resulting in little variation within the population.",2,13.C,ChatGPT Reading Companion,,,,
7.3.2,"What is the purpose of copying genetic material in asexual reproduction, as mentioned in the passage?",To increase the number of offspring,To introduce genetic variation,To create different versions of traits,To ensure the offspring are genetically identical,A,"In asexual reproduction, copying genetic material is done to ensure that each offspring has a complete and identical copy of the original organism's genetic information.",2,13.C,ChatGPT Reading Companion,,,,
7.3.2,Compare and contrast asexual and sexual reproduction. Select ALL that apply.,"Sexual reproduction increases genetic diversity over generations, while asexual reproduction does not.",Sexual reproduction involves only one parent.,"Asexual reproduction increases genetic diversity over generations, while sexual reproduction does not.",Asexual reproduction involves only one parent.,"A, D","Sexual reproduction involves two parent organisms and increases genetic diversity over generations, while asexualreproduction involves only one parent organism and does not increase genetic diversity.",,13.C,ChatGPT Reading Companion,,,,
7.3.2,How does sexual reproduction contribute to genetic diversity in a population?,By producing offspring with identical genetic material,By allowing for the exchange of genetic material between two parents,By copying the genetic material from the environment,By regenerating missing body parts,B,"Sexual reproduction contributes to genetic diversity by allowing for the exchange of genetic material between two parents, resulting in offspring with a combination of genetic traits from both parents.",2,13.C,ChatGPT Reading Companion,,,,
7.3.2,What role does variation play in the survival of species?,It increases competition within species,It leads to the extinction of species,It increases adaptability and resilience,It hinders the reproductive process,C,"Variation plays a crucial role in the survival of species by increasing adaptability and resilience, which enables species to better withstand changes in their environment.",2,13.C,ChatGPT Reading Companion,,,,
7.3.2,What is(are) the likely result(s) of sexual reproduction in a population over time? Select ALL that apply.,Decrease in adaptability and resilience,Increase in genetic diversity of offspring,Stability in the genetic makeup of the population,Increase in the genetic diversity of the population,"B, D",Sexual reproduction in organisms results in an increase in diversity of offspring and increased diversity in a population over time.,2,13.C,Becky Reading Companion,,,,
